name,id,propeId,o_branch,p_date,file_num,p_purchase,detail,n_plots,payOptions,p_p_plot,landTotal,a_p_f_plots,n_c_piece,c_piece_price,c_piece_total,c_piece_paid,c_piece_status,landStatus,surv_fee,surv_paid,surveStatus,legal_fee,legal_paid,legalStatus,dev_fee,dev_paid,develStatus,reg_fee,reg_paid,regisStatus,elec_fee,elec_paid,electStatus,rat_fee,rat_paid,ratifStatus,defau_fee,defau_paid,defauStatus,service_fee,service_paid,serviceStatus,deed_fee,deed_paid,deedStatus,grandTopay,grandPaid,grandDebt,allocation,plotNum,blockNum,comment
Royalty Garden Shimawa,6228985c123bb520235c9561,621de03497e97f8676b729fe,Ikeja,1/21/2020,RGS/20/001,Residential,Plot of Land,1,12 Months Plan,1600000,1600000,1100000,500000,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302000,1100000,1202000,Out of Contract,,,
Royalty Garden Shimawa,6228985c123bb520235c9562,621de03497e97f8676b729fe,Ikeja,3/20/2020,RGS/20/003,Residential,Plot of Land,1,12 Months Plan,2000000,2000000,350000,1650000,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,350000,2352000,,,,
Royalty Garden Shimawa,6228985c123bb520235c9563,621de03497e97f8676b729fe,Ikeja,4/16/2020,RGS/20/004,Residential,Plot of Land,1,6 Months Plan,1800000,1800000,1800000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502000,2502000,0,Allocated,D,Block 2,
Royalty Garden Shimawa,6228985c123bb520235c9564,621de03497e97f8676b729fe,Ikeja,9/11/2020,RGS/20/006,Residential,Plot of Land,1,3 Months Plan,2000000,2000000,1200000,800000,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,1200000,1502000,Out of Contract,,,
Royalty Garden Shimawa,6228985c123bb520235c9565,621de03497e97f8676b729fe,Ikeja,7/26/2020,RGS/20/007,Residential,Plot of Land,1,24 Months Plan,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2700000,0,,,,
Royalty Garden Shimawa,6228985c123bb520235c9566,621de03497e97f8676b729fe,Ikeja,4/8/2020,RGS/20/008,Residential,Plot of Land,1,12 Months Plan,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,,,,
Royalty Garden Shimawa,6228985c123bb520235c9567,621de03497e97f8676b729fe,Ikeja,7/30/2020,RGS/20/009,Residential,Plot of Land,1,13 Months Plan,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,Allocated,D,Block 3,
Royalty Garden Shimawa,6228985c123bb520235c9568,621de03497e97f8676b729fe,Ikeja,8/27/2020,RGS/20/010,Residential,Plot of Land,1,14 Months Plan,2000000,2000000,638370,1361630,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,638370,2063630,Out of Contract,,,
Royalty Garden Shimawa,6228985c123bb520235c9569,621de03497e97f8676b729fe,Ikeja, 7/30/2020  , RGS/20/011,Residential,Plot of Land,1,3 Months Plan,2000000,2000000,0,0,0,0,0,0,0,150000,150000,0,50000,50000,0,400000,400000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602000,2602000,0,Allocated,D,Block 6,
Royalty Garden Shimawa,6228985c123bb520235c956a,621de03497e97f8676b729fe,Ikeja,11/19/2020,RGS/ 20/012,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,,,,
Royalty Garden Shimawa,6228985c123bb520235c956b,621de03497e97f8676b729fe,Ikeja,11/12/2020,RGS/20/013,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,Allocated,H,4,
Royalty Garden Shimawa,6228985c123bb520235c956c,621de03497e97f8676b729fe,Ikeja,1/20/2021,RGS/21/001,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,Allocated,H,3,
Royalty Garden Shimawa,6228985c123bb520235c956d,621de03497e97f8676b729fe,Ikeja,1/12/2021,RGS/21/002,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,100000,0,50000,5000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,Pending,,,
Royalty Garden Shimawa,6228985c123bb520235c956e,621de03497e97f8676b729fe,Ikeja,1/27/2021,RGS/21/003,Residential,Plot of Land,1,12 Months Plan,2000000,2000000,700000,1300000,0,0,0,0,0,150000,0,150000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,700000,2002000,Out of Contract,,,
Royalty Garden Shimawa,6228985c123bb520235c956f,621de03497e97f8676b729fe,Ikeja,1/28/2021,RGS/21/004,Residential,Plot of Land,1,Outright Payment,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2700000,2000,,,,
Royalty Garden Shimawa,6228985c123bb520235c9570,621de03497e97f8676b729fe,Ikeja,1/22/2021,RGS/21/005,Residential,Plot of Land,1,12 Months Plan,2000000,2000000,2000000,0,0,0,0,0,0,150000,100000,50000,50000,0,50000,500000,0,500000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2002000,700000,,,,
Royalty Garden Shimawa,6228985c123bb520235c9571,621de03497e97f8676b729fe,Ikeja,2/2/2021,RGS/21/006,Residential,Plot of Land,1,12 Months Plan,2000000,2000000,2000000,0,0,0,0,0,0,150000,150000,0,50000,50000,0,500000,500000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702000,2702000,0,,,,
